indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2008-1-01,patagonia,no residentes,141973,
2008-1-01,patagonia,residentes,230087,
2008-1-01,patagonia,total,372060,
2008-10-01,patagonia,no residentes,49646,
2008-10-01,patagonia,residentes,58817,
2008-10-01,patagonia,total,108463,
2008-11-01,patagonia,no residentes,81111,
2008-11-01,patagonia,residentes,51951,
2008-11-01,patagonia,total,133062,
2008-12-01,patagonia,no residentes,75286,
2008-12-01,patagonia,residentes,78864,
2008-12-01,patagonia,total,154150,
2008-2-01,patagonia,no residentes,96632,
2008-2-01,patagonia,residentes,186291,
2008-2-01,patagonia,total,282923,
2008-3-01,patagonia,no residentes,91382,
2008-3-01,patagonia,residentes,98317,
2008-3-01,patagonia,total,189699,
2008-4-01,patagonia,no residentes,36759,
2008-4-01,patagonia,residentes,31121,
2008-4-01,patagonia,total,67879,
2008-5-01,patagonia,no residentes,13038,
2008-5-01,patagonia,residentes,11169,
2008-5-01,patagonia,total,24206,
2008-6-01,patagonia,no residentes,10322,
2008-6-01,patagonia,residentes,9850,
2008-6-01,patagonia,total,20172,
2008-7-01,patagonia,no residentes,21411,
2008-7-01,patagonia,residentes,22338,
2008-7-01,patagonia,total,43750,
2008-8-01,patagonia,no residentes,24175,
2008-8-01,patagonia,residentes,20928,
2008-8-01,patagonia,total,45104,
2008-9-01,patagonia,no residentes,32492,
2008-9-01,patagonia,residentes,33363,
2008-9-01,patagonia,total,65855,
2009-1-01,patagonia,no residentes,71266,
2009-1-01,patagonia,residentes,263235,
2009-1-01,patagonia,total,334501,
2009-10-01,patagonia,no residentes,37797,
2009-10-01,patagonia,residentes,57456,
2009-10-01,patagonia,total,95252,
2009-11-01,patagonia,no residentes,70883,
2009-11-01,patagonia,residentes,59744,
2009-11-01,patagonia,total,130626,
2009-12-01,patagonia,no residentes,71933,
2009-12-01,patagonia,residentes,73597,
2009-12-01,patagonia,total,145530,
2009-2-01,patagonia,no residentes,66524,
2009-2-01,patagonia,residentes,181933,
2009-2-01,patagonia,total,248457,
2009-3-01,patagonia,no residentes,47894,
2009-3-01,patagonia,residentes,83830,
2009-3-01,patagonia,total,131724,
2009-4-01,patagonia,no residentes,27484,
2009-4-01,patagonia,residentes,61618,
